,Compound Score,Negative Score,Neutral Score,Outlet,Positive Score,Tweets Ago
0,0.4199,0.0,0.823,@BBCWorld,0.177,1
1,-0.4019,0.474,0.526,@BBCWorld,0.0,2
2,-0.25,0.286,0.714,@BBCWorld,0.0,3
3,0.0,0.0,1.0,@BBCWorld,0.0,4
4,0.0772,0.206,0.561,@BBCWorld,0.234,5
5,-0.4767,0.237,0.763,@BBCWorld,0.0,6
6,0.0,0.0,1.0,@BBCWorld,0.0,7
7,0.0,0.0,1.0,@BBCWorld,0.0,8
8,0.5106,0.0,0.837,@BBCWorld,0.163,9
9,-0.7595,0.334,0.666,@BBCWorld,0.0,10
10,0.34,0.0,0.769,@BBCWorld,0.231,11
11,0.0,0.0,1.0,@BBCWorld,0.0,12
12,-0.6705,0.234,0.766,@BBCWorld,0.0,13
13,0.0,0.0,1.0,@BBCWorld,0.0,14
14,0.4939,0.0,0.789,@BBCWorld,0.211,15
15,0.0,0.0,1.0,@BBCWorld,0.0,16
16,-0.5267,0.362,0.638,@BBCWorld,0.0,17
17,0.6597,0.0,0.526,@BBCWorld,0.474,18
18,-0.6808,0.32,0.68,@BBCWorld,0.0,19
19,-0.296,0.104,0.896,@BBCWorld,0.0,20
20,0.4199,0.0,0.823,@BBCWorld,0.177,21
21,-0.4019,0.474,0.526,@BBCWorld,0.0,22
22,-0.25,0.286,0.714,@BBCWorld,0.0,23
23,0.0,0.0,1.0,@BBCWorld,0.0,24
24,0.0772,0.206,0.561,@BBCWorld,0.234,25
25,-0.4767,0.237,0.763,@BBCWorld,0.0,26
26,0.0,0.0,1.0,@BBCWorld,0.0,27
27,0.0,0.0,1.0,@BBCWorld,0.0,28
28,0.5106,0.0,0.837,@BBCWorld,0.163,29
29,-0.7595,0.334,0.666,@BBCWorld,0.0,30
30,0.34,0.0,0.769,@BBCWorld,0.231,31
31,0.0,0.0,1.0,@BBCWorld,0.0,32
32,-0.6705,0.234,0.766,@BBCWorld,0.0,33
33,0.0,0.0,1.0,@BBCWorld,0.0,34
34,0.4939,0.0,0.789,@BBCWorld,0.211,35
35,0.0,0.0,1.0,@BBCWorld,0.0,36
36,-0.5267,0.362,0.638,@BBCWorld,0.0,37
37,0.6597,0.0,0.526,@BBCWorld,0.474,38
38,-0.6808,0.32,0.68,@BBCWorld,0.0,39
39,-0.296,0.104,0.896,@BBCWorld,0.0,40
40,0.0,0.0,1.0,@BBCWorld,0.0,41
41,-0.6249,0.421,0.579,@BBCWorld,0.0,42
42,0.0,0.0,1.0,@BBCWorld,0.0,43
43,-0.2732,0.231,0.769,@BBCWorld,0.0,44
44,0.3818,0.0,0.435,@BBCWorld,0.565,45
45,0.0,0.0,1.0,@BBCWorld,0.0,46
46,0.0,0.0,1.0,@BBCWorld,0.0,47
47,0.0,0.0,1.0,@BBCWorld,0.0,48
48,0.0,0.0,1.0,@BBCWorld,0.0,49
49,0.296,0.0,0.784,@BBCWorld,0.216,50
50,-0.3612,0.778,0.222,@BBCWorld,0.0,51
51,-0.6808,0.398,0.602,@BBCWorld,0.0,52
52,-0.2263,0.313,0.482,@BBCWorld,0.205,53
53,-0.4939,0.262,0.738,@BBCWorld,0.0,54
54,-0.296,0.355,0.645,@BBCWorld,0.0,55
55,-0.3182,0.203,0.649,@BBCWorld,0.147,56
56,-0.4019,0.209,0.791,@BBCWorld,0.0,57
57,-0.6249,0.186,0.814,@BBCWorld,0.0,58
58,-0.6705,0.478,0.522,@BBCWorld,0.0,59
59,0.0,0.0,1.0,@BBCWorld,0.0,60
60,0.0,0.0,1.0,@BBCWorld,0.0,61
61,0.0,0.0,1.0,@BBCWorld,0.0,62
62,-0.6908,0.439,0.561,@BBCWorld,0.0,63
63,0.0,0.0,1.0,@BBCWorld,0.0,64
64,-0.3182,0.172,0.766,@BBCWorld,0.062,65
65,0.5499,0.0,0.818,@BBCWorld,0.182,66
66,0.0,0.0,1.0,@BBCWorld,0.0,67
67,0.0,0.0,1.0,@BBCWorld,0.0,68
68,-0.5267,0.327,0.673,@BBCWorld,0.0,69
69,-0.5994,0.302,0.698,@BBCWorld,0.0,70
70,0.6486,0.17,0.351,@BBCWorld,0.48,71
71,0.0258,0.22,0.55,@BBCWorld,0.229,72
72,0.0,0.0,1.0,@BBCWorld,0.0,73
73,0.0,0.0,1.0,@BBCWorld,0.0,74
74,0.0,0.0,1.0,@BBCWorld,0.0,75
75,0.0,0.0,1.0,@BBCWorld,0.0,76
76,0.0,0.0,1.0,@BBCWorld,0.0,77
77,0.0,0.0,1.0,@BBCWorld,0.0,78
78,0.5574,0.0,0.765,@BBCWorld,0.235,79
79,-0.4767,0.237,0.763,@BBCWorld,0.0,80
80,0.0,0.0,1.0,@BBCWorld,0.0,81
81,0.3818,0.0,0.435,@BBCWorld,0.565,82
82,0.4939,0.0,0.686,@BBCWorld,0.314,83
83,-0.4588,0.25,0.75,@BBCWorld,0.0,84
84,0.0,0.0,1.0,@BBCWorld,0.0,85
85,0.0,0.0,1.0,@BBCWorld,0.0,86
86,0.0,0.0,1.0,@BBCWorld,0.0,87
87,-0.25,0.2,0.8,@BBCWorld,0.0,88
88,0.0,0.0,1.0,@BBCWorld,0.0,89
89,0.2023,0.0,0.769,@BBCWorld,0.231,90
90,0.0,0.0,1.0,@BBCWorld,0.0,91
91,0.0,0.0,1.0,@BBCWorld,0.0,92
92,-0.0258,0.121,0.879,@BBCWorld,0.0,93
93,0.0,0.0,1.0,@BBCWorld,0.0,94
94,0.0,0.0,1.0,@BBCWorld,0.0,95
95,0.296,0.0,0.872,@BBCWorld,0.128,96
96,0.0772,0.0,0.939,@BBCWorld,0.061,97
97,-0.296,0.095,0.905,@BBCWorld,0.0,98
98,0.0,0.0,1.0,@BBCWorld,0.0,99
99,0.4939,0.0,0.814,@BBCWorld,0.186,100
0,0.5267,0.0,0.825,@CBSNews,0.175,1
1,0.8122,0.0,0.486,@CBSNews,0.514,2
2,-0.6369,0.302,0.586,@CBSNews,0.113,3
3,0.0,0.0,1.0,@CBSNews,0.0,4
4,-0.5423,0.179,0.821,@CBSNews,0.0,5
5,0.0,0.0,1.0,@CBSNews,0.0,6
6,0.5267,0.0,0.793,@CBSNews,0.207,7
7,0.4404,0.0,0.879,@CBSNews,0.121,8
8,0.5719,0.096,0.639,@CBSNews,0.265,9
9,0.7506,0.0,0.652,@CBSNews,0.348,10
10,0.0,0.0,1.0,@CBSNews,0.0,11
11,0.0,0.0,1.0,@CBSNews,0.0,12
12,-0.4404,0.178,0.731,@CBSNews,0.091,13
13,-0.1027,0.104,0.896,@CBSNews,0.0,14
14,0.0772,0.107,0.769,@CBSNews,0.124,15
15,0.6705,0.0,0.519,@CBSNews,0.481,16
16,-0.296,0.167,0.833,@CBSNews,0.0,17
17,-0.2732,0.104,0.896,@CBSNews,0.0,18
18,0.0,0.0,1.0,@CBSNews,0.0,19
19,0.6249,0.0,0.83,@CBSNews,0.17,20
20,0.5267,0.0,0.825,@CBSNews,0.175,21
21,0.8122,0.0,0.486,@CBSNews,0.514,22
22,-0.6369,0.302,0.586,@CBSNews,0.113,23
23,0.0,0.0,1.0,@CBSNews,0.0,24
24,-0.5423,0.179,0.821,@CBSNews,0.0,25
25,0.0,0.0,1.0,@CBSNews,0.0,26
26,0.5267,0.0,0.793,@CBSNews,0.207,27
27,0.4404,0.0,0.879,@CBSNews,0.121,28
28,0.5719,0.096,0.639,@CBSNews,0.265,29
29,0.7506,0.0,0.652,@CBSNews,0.348,30
30,0.0,0.0,1.0,@CBSNews,0.0,31
31,0.0,0.0,1.0,@CBSNews,0.0,32
32,-0.4404,0.178,0.731,@CBSNews,0.091,33
33,-0.1027,0.104,0.896,@CBSNews,0.0,34
34,0.0772,0.107,0.769,@CBSNews,0.124,35
35,0.6705,0.0,0.519,@CBSNews,0.481,36
36,-0.296,0.167,0.833,@CBSNews,0.0,37
37,-0.2732,0.104,0.896,@CBSNews,0.0,38
38,0.0,0.0,1.0,@CBSNews,0.0,39
39,0.6249,0.0,0.83,@CBSNews,0.17,40
40,-0.296,0.155,0.845,@CBSNews,0.0,41
41,0.5106,0.0,0.784,@CBSNews,0.216,42
42,0.0,0.0,1.0,@CBSNews,0.0,43
43,0.0,0.0,1.0,@CBSNews,0.0,44
44,-0.6124,0.385,0.615,@CBSNews,0.0,45
45,0.0,0.0,1.0,@CBSNews,0.0,46
46,0.0,0.0,1.0,@CBSNews,0.0,47
47,-0.7506,0.39,0.61,@CBSNews,0.0,48
48,-0.1779,0.118,0.802,@CBSNews,0.08,49
49,0.0,0.0,1.0,@CBSNews,0.0,50
50,0.0,0.0,1.0,@CBSNews,0.0,51
51,-0.2732,0.16,0.84,@CBSNews,0.0,52
52,-0.4404,0.195,0.805,@CBSNews,0.0,53
53,0.4939,0.0,0.802,@CBSNews,0.198,54
54,-0.6486,0.301,0.699,@CBSNews,0.0,55
55,0.0,0.0,1.0,@CBSNews,0.0,56
56,0.6249,0.0,0.702,@CBSNews,0.298,57
57,-0.4404,0.178,0.731,@CBSNews,0.091,58
58,0.0,0.0,1.0,@CBSNews,0.0,59
59,-0.3182,0.133,0.867,@CBSNews,0.0,60
60,0.0,0.0,1.0,@CBSNews,0.0,61
61,-0.8591,0.538,0.462,@CBSNews,0.0,62
62,-0.34,0.194,0.806,@CBSNews,0.0,63
63,0.34,0.0,0.854,@CBSNews,0.146,64
64,0.2023,0.0,0.859,@CBSNews,0.141,65
65,0.1531,0.085,0.802,@CBSNews,0.113,66
66,0.0,0.0,1.0,@CBSNews,0.0,67
67,-0.7964,0.353,0.647,@CBSNews,0.0,68
68,-0.296,0.196,0.804,@CBSNews,0.0,69
69,0.0,0.0,1.0,@CBSNews,0.0,70
70,0.3818,0.0,0.809,@CBSNews,0.191,71
71,-0.5994,0.231,0.769,@CBSNews,0.0,72
72,-0.5574,0.247,0.753,@CBSNews,0.0,73
73,-0.228,0.262,0.537,@CBSNews,0.201,74
74,-0.5719,0.309,0.507,@CBSNews,0.184,75
75,0.5719,0.117,0.559,@CBSNews,0.324,76
76,0.4019,0.0,0.863,@CBSNews,0.137,77
77,0.4215,0.0,0.865,@CBSNews,0.135,78
78,-0.836,0.435,0.46,@CBSNews,0.105,79
79,0.0,0.0,1.0,@CBSNews,0.0,80
80,0.8126,0.0,0.641,@CBSNews,0.359,81
81,0.5994,0.0,0.813,@CBSNews,0.187,82
82,-0.34,0.13,0.87,@CBSNews,0.0,83
83,0.0,0.0,1.0,@CBSNews,0.0,84
84,-0.7579,0.309,0.602,@CBSNews,0.088,85
85,0.0,0.0,1.0,@CBSNews,0.0,86
86,0.5106,0.0,0.784,@CBSNews,0.216,87
87,0.0772,0.107,0.769,@CBSNews,0.124,88
88,0.0,0.0,1.0,@CBSNews,0.0,89
89,0.0,0.0,1.0,@CBSNews,0.0,90
90,0.0,0.0,1.0,@CBSNews,0.0,91
91,-0.659,0.221,0.779,@CBSNews,0.0,92
92,0.0,0.0,1.0,@CBSNews,0.0,93
93,0.3612,0.0,0.889,@CBSNews,0.111,94
94,-0.5267,0.139,0.861,@CBSNews,0.0,95
95,0.2023,0.0,0.913,@CBSNews,0.087,96
96,0.7964,0.0,0.616,@CBSNews,0.384,97
97,-0.1625,0.191,0.684,@CBSNews,0.125,98
98,0.0,0.0,1.0,@CBSNews,0.0,99
99,-0.3556,0.134,0.866,@CBSNews,0.0,100
0,0.0,0.0,1.0,@CNN,0.0,1
1,0.0,0.0,1.0,@CNN,0.0,2
2,0.7506,0.085,0.569,@CNN,0.346,3
3,0.0,0.0,1.0,@CNN,0.0,4
4,0.0,0.0,1.0,@CNN,0.0,5
5,0.0,0.0,1.0,@CNN,0.0,6
6,0.34,0.0,0.876,@CNN,0.124,7
7,-0.872,0.414,0.586,@CNN,0.0,8
8,-0.5994,0.196,0.804,@CNN,0.0,9
9,0.0,0.0,1.0,@CNN,0.0,10
10,0.0,0.0,1.0,@CNN,0.0,11
11,-0.7783,0.264,0.736,@CNN,0.0,12
12,0.0,0.0,1.0,@CNN,0.0,13
13,-0.5994,0.196,0.804,@CNN,0.0,14
14,0.5927,0.0,0.784,@CNN,0.216,15
15,0.0,0.0,1.0,@CNN,0.0,16
16,-0.1531,0.082,0.918,@CNN,0.0,17
17,0.2732,0.103,0.739,@CNN,0.158,18
18,0.34,0.0,0.876,@CNN,0.124,19
19,0.0,0.0,1.0,@CNN,0.0,20
20,0.0,0.0,1.0,@CNN,0.0,21
21,0.0,0.0,1.0,@CNN,0.0,22
22,0.7506,0.085,0.569,@CNN,0.346,23
23,0.0,0.0,1.0,@CNN,0.0,24
24,0.0,0.0,1.0,@CNN,0.0,25
25,0.0,0.0,1.0,@CNN,0.0,26
26,0.34,0.0,0.876,@CNN,0.124,27
27,-0.872,0.414,0.586,@CNN,0.0,28
28,-0.5994,0.196,0.804,@CNN,0.0,29
29,0.0,0.0,1.0,@CNN,0.0,30
30,0.0,0.0,1.0,@CNN,0.0,31
31,-0.7783,0.264,0.736,@CNN,0.0,32
32,0.0,0.0,1.0,@CNN,0.0,33
33,-0.5994,0.196,0.804,@CNN,0.0,34
34,0.5927,0.0,0.784,@CNN,0.216,35
35,0.0,0.0,1.0,@CNN,0.0,36
36,-0.1531,0.082,0.918,@CNN,0.0,37
37,0.2732,0.103,0.739,@CNN,0.158,38
38,0.34,0.0,0.876,@CNN,0.124,39
39,0.0,0.0,1.0,@CNN,0.0,40
40,0.0,0.0,1.0,@CNN,0.0,41
41,0.0,0.0,1.0,@CNN,0.0,42
42,0.0,0.0,1.0,@CNN,0.0,43
43,0.0,0.0,1.0,@CNN,0.0,44
44,0.296,0.0,0.885,@CNN,0.115,45
45,0.5267,0.0,0.815,@CNN,0.185,46
46,-0.323,0.114,0.886,@CNN,0.0,47
47,0.7184,0.0,0.667,@CNN,0.333,48
48,0.4215,0.0,0.865,@CNN,0.135,49
49,-0.1027,0.131,0.758,@CNN,0.111,50
50,0.0,0.0,1.0,@CNN,0.0,51
51,0.0,0.0,1.0,@CNN,0.0,52
52,0.5994,0.0,0.755,@CNN,0.245,53
53,0.7096,0.0,0.731,@CNN,0.269,54
54,-0.3612,0.211,0.653,@CNN,0.136,55
55,-0.4404,0.146,0.854,@CNN,0.0,56
56,0.296,0.0,0.885,@CNN,0.115,57
57,0.0,0.0,1.0,@CNN,0.0,58
58,0.3612,0.0,0.878,@CNN,0.122,59
59,-0.1027,0.113,0.887,@CNN,0.0,60
60,-0.7572,0.266,0.65,@CNN,0.084,61
61,-0.7269,0.337,0.663,@CNN,0.0,62
62,0.0,0.0,1.0,@CNN,0.0,63
63,0.0,0.0,1.0,@CNN,0.0,64
64,0.3182,0.0,0.859,@CNN,0.141,65
65,0.4019,0.084,0.728,@CNN,0.188,66
66,0.4031,0.124,0.659,@CNN,0.218,67
67,0.0,0.0,1.0,@CNN,0.0,68
68,-0.6597,0.301,0.526,@CNN,0.173,69
69,0.0,0.0,1.0,@CNN,0.0,70
70,0.7184,0.0,0.667,@CNN,0.333,71
71,0.3182,0.168,0.581,@CNN,0.252,72
72,-0.3612,0.106,0.894,@CNN,0.0,73
73,0.0,0.0,1.0,@CNN,0.0,74
74,-0.4019,0.184,0.816,@CNN,0.0,75
75,0.0,0.0,1.0,@CNN,0.0,76
76,-0.5994,0.196,0.804,@CNN,0.0,77
77,-0.1531,0.198,0.66,@CNN,0.142,78
78,0.7845,0.084,0.518,@CNN,0.398,79
79,0.0,0.0,1.0,@CNN,0.0,80
80,0.5106,0.0,0.82,@CNN,0.18,81
81,-0.296,0.128,0.872,@CNN,0.0,82
82,0.0,0.0,1.0,@CNN,0.0,83
83,0.0772,0.105,0.776,@CNN,0.119,84
84,0.0,0.0,1.0,@CNN,0.0,85
85,-0.1027,0.131,0.758,@CNN,0.111,86
86,-0.7572,0.266,0.65,@CNN,0.084,87
87,-0.7269,0.337,0.663,@CNN,0.0,88
88,-0.8548,0.419,0.581,@CNN,0.0,89
89,0.0,0.0,1.0,@CNN,0.0,90
90,0.7096,0.0,0.731,@CNN,0.269,91
91,0.3182,0.0,0.859,@CNN,0.141,92
92,0.0,0.0,1.0,@CNN,0.0,93
93,0.0,0.0,1.0,@CNN,0.0,94
94,-0.3818,0.14,0.86,@CNN,0.0,95
95,-0.6597,0.339,0.466,@CNN,0.195,96
96,0.3612,0.0,0.878,@CNN,0.122,97
97,0.0,0.0,1.0,@CNN,0.0,98
98,-0.4404,0.146,0.854,@CNN,0.0,99
99,0.0,0.0,1.0,@CNN,0.0,100
0,0.7579,0.111,0.452,@FoxNews,0.437,1
1,0.0,0.0,1.0,@FoxNews,0.0,2
2,0.0,0.0,1.0,@FoxNews,0.0,3
3,0.0,0.0,1.0,@FoxNews,0.0,4
4,-0.5994,0.246,0.754,@FoxNews,0.0,5
5,0.0,0.0,1.0,@FoxNews,0.0,6
6,0.0,0.0,1.0,@FoxNews,0.0,7
7,0.2003,0.0,0.914,@FoxNews,0.086,8
8,0.0,0.0,1.0,@FoxNews,0.0,9
9,0.0,0.0,1.0,@FoxNews,0.0,10
10,-0.2732,0.16,0.84,@FoxNews,0.0,11
11,0.0,0.0,1.0,@FoxNews,0.0,12
12,0.4767,0.0,0.819,@FoxNews,0.181,13
13,0.5106,0.0,0.769,@FoxNews,0.231,14
14,0.4939,0.0,0.868,@FoxNews,0.132,15
15,0.2003,0.0,0.914,@FoxNews,0.086,16
16,0.0,0.0,1.0,@FoxNews,0.0,17
17,-0.34,0.13,0.87,@FoxNews,0.0,18
18,0.4019,0.0,0.856,@FoxNews,0.144,19
19,-0.5283,0.208,0.72,@FoxNews,0.072,20
20,0.7579,0.111,0.452,@FoxNews,0.437,21
21,0.0,0.0,1.0,@FoxNews,0.0,22
22,0.0,0.0,1.0,@FoxNews,0.0,23
23,0.0,0.0,1.0,@FoxNews,0.0,24
24,-0.5994,0.246,0.754,@FoxNews,0.0,25
25,0.0,0.0,1.0,@FoxNews,0.0,26
26,0.0,0.0,1.0,@FoxNews,0.0,27
27,0.2003,0.0,0.914,@FoxNews,0.086,28
28,0.0,0.0,1.0,@FoxNews,0.0,29
29,0.0,0.0,1.0,@FoxNews,0.0,30
30,-0.2732,0.16,0.84,@FoxNews,0.0,31
31,0.0,0.0,1.0,@FoxNews,0.0,32
32,0.4767,0.0,0.819,@FoxNews,0.181,33
33,0.5106,0.0,0.769,@FoxNews,0.231,34
34,0.4939,0.0,0.868,@FoxNews,0.132,35
35,0.2003,0.0,0.914,@FoxNews,0.086,36
36,0.0,0.0,1.0,@FoxNews,0.0,37
37,-0.34,0.13,0.87,@FoxNews,0.0,38
38,0.4019,0.0,0.856,@FoxNews,0.144,39
39,-0.5283,0.208,0.72,@FoxNews,0.072,40
40,0.8519,0.0,0.659,@FoxNews,0.341,41
41,0.5719,0.0,0.719,@FoxNews,0.281,42
42,0.0,0.0,1.0,@FoxNews,0.0,43
43,-0.4019,0.231,0.769,@FoxNews,0.0,44
44,0.1531,0.248,0.483,@FoxNews,0.269,45
45,0.0,0.0,1.0,@FoxNews,0.0,46
46,-0.5688,0.197,0.803,@FoxNews,0.0,47
47,0.0,0.0,1.0,@FoxNews,0.0,48
48,0.6908,0.0,0.711,@FoxNews,0.289,49
49,0.0,0.0,1.0,@FoxNews,0.0,50
50,-0.4019,0.231,0.769,@FoxNews,0.0,51
51,0.0,0.0,1.0,@FoxNews,0.0,52
52,0.0,0.0,1.0,@FoxNews,0.0,53
53,0.2263,0.122,0.711,@FoxNews,0.168,54
54,0.0,0.0,1.0,@FoxNews,0.0,55
55,-0.2732,0.231,0.769,@FoxNews,0.0,56
56,-0.296,0.18,0.82,@FoxNews,0.0,57
57,0.0,0.0,1.0,@FoxNews,0.0,58
58,0.0,0.0,1.0,@FoxNews,0.0,59
59,0.34,0.0,0.897,@FoxNews,0.103,60
60,0.0,0.0,1.0,@FoxNews,0.0,61
61,0.0,0.0,1.0,@FoxNews,0.0,62
62,-0.2924,0.195,0.805,@FoxNews,0.0,63
63,0.0,0.0,1.0,@FoxNews,0.0,64
64,0.8143,0.0,0.597,@FoxNews,0.403,65
65,-0.128,0.207,0.631,@FoxNews,0.162,66
66,-0.1139,0.126,0.874,@FoxNews,0.0,67
67,0.0,0.0,1.0,@FoxNews,0.0,68
68,0.0,0.0,1.0,@FoxNews,0.0,69
69,-0.6249,0.24,0.76,@FoxNews,0.0,70
70,-0.5574,0.295,0.705,@FoxNews,0.0,71
71,-0.1531,0.086,0.914,@FoxNews,0.0,72
72,0.5106,0.0,0.769,@FoxNews,0.231,73
73,0.0,0.0,1.0,@FoxNews,0.0,74
74,-0.7717,0.34,0.66,@FoxNews,0.0,75
75,0.0,0.0,1.0,@FoxNews,0.0,76
76,-0.2732,0.231,0.769,@FoxNews,0.0,77
77,-0.1531,0.096,0.904,@FoxNews,0.0,78
78,-0.2924,0.214,0.786,@FoxNews,0.0,79
79,0.3818,0.0,0.698,@FoxNews,0.302,80
80,0.0,0.0,1.0,@FoxNews,0.0,81
81,-0.872,0.382,0.618,@FoxNews,0.0,82
82,0.0,0.0,1.0,@FoxNews,0.0,83
83,0.1779,0.095,0.779,@FoxNews,0.126,84
84,0.34,0.0,0.789,@FoxNews,0.211,85
85,0.0,0.0,1.0,@FoxNews,0.0,86
86,0.6486,0.0,0.602,@FoxNews,0.398,87
87,0.8481,0.0,0.661,@FoxNews,0.339,88
88,0.0,0.0,1.0,@FoxNews,0.0,89
89,-0.1779,0.127,0.78,@FoxNews,0.093,90
90,0.0,0.0,1.0,@FoxNews,0.0,91
91,-0.0516,0.192,0.641,@FoxNews,0.167,92
92,0.0258,0.0,0.932,@FoxNews,0.068,93
93,-0.4767,0.14,0.86,@FoxNews,0.0,94
94,0.0,0.0,1.0,@FoxNews,0.0,95
95,0.0,0.0,1.0,@FoxNews,0.0,96
96,0.0,0.0,1.0,@FoxNews,0.0,97
97,0.0,0.0,1.0,@FoxNews,0.0,98
98,-0.296,0.128,0.872,@FoxNews,0.0,99
99,0.5106,0.0,0.845,@FoxNews,0.155,100
0,0.2023,0.0,0.795,@nytimes,0.205,1
1,0.5719,0.0,0.778,@nytimes,0.222,2
2,-0.34,0.118,0.882,@nytimes,0.0,3
3,-0.8591,0.442,0.558,@nytimes,0.0,4
4,0.0,0.0,1.0,@nytimes,0.0,5
5,-0.4019,0.179,0.717,@nytimes,0.103,6
6,-0.8016,0.387,0.613,@nytimes,0.0,7
7,0.8885,0.0,0.276,@nytimes,0.724,8
8,0.0,0.0,1.0,@nytimes,0.0,9
9,-0.3182,0.133,0.867,@nytimes,0.0,10
10,0.0,0.0,1.0,@nytimes,0.0,11
11,-0.5719,0.188,0.812,@nytimes,0.0,12
12,-0.8316,0.395,0.605,@nytimes,0.0,13
13,0.0,0.0,1.0,@nytimes,0.0,14
14,-0.6652,0.252,0.647,@nytimes,0.101,15
15,0.5574,0.0,0.581,@nytimes,0.419,16
16,0.0,0.0,1.0,@nytimes,0.0,17
17,-0.296,0.18,0.82,@nytimes,0.0,18
18,-0.6486,0.228,0.692,@nytimes,0.08,19
19,0.0,0.0,1.0,@nytimes,0.0,20
20,0.2023,0.0,0.795,@nytimes,0.205,21
21,0.5719,0.0,0.778,@nytimes,0.222,22
22,-0.34,0.118,0.882,@nytimes,0.0,23
23,-0.8591,0.442,0.558,@nytimes,0.0,24
24,0.0,0.0,1.0,@nytimes,0.0,25
25,-0.4019,0.179,0.717,@nytimes,0.103,26
26,-0.8016,0.387,0.613,@nytimes,0.0,27
27,0.8885,0.0,0.276,@nytimes,0.724,28
28,0.0,0.0,1.0,@nytimes,0.0,29
29,-0.3182,0.133,0.867,@nytimes,0.0,30
30,0.0,0.0,1.0,@nytimes,0.0,31
31,-0.5719,0.188,0.812,@nytimes,0.0,32
32,-0.8316,0.395,0.605,@nytimes,0.0,33
33,0.0,0.0,1.0,@nytimes,0.0,34
34,-0.6652,0.252,0.647,@nytimes,0.101,35
35,0.5574,0.0,0.581,@nytimes,0.419,36
36,0.0,0.0,1.0,@nytimes,0.0,37
37,-0.296,0.18,0.82,@nytimes,0.0,38
38,-0.6486,0.228,0.692,@nytimes,0.08,39
39,0.0,0.0,1.0,@nytimes,0.0,40
40,-0.2755,0.123,0.877,@nytimes,0.0,41
41,-0.3612,0.242,0.606,@nytimes,0.152,42
42,0.0,0.0,1.0,@nytimes,0.0,43
43,0.2732,0.0,0.909,@nytimes,0.091,44
44,-0.5106,0.231,0.769,@nytimes,0.0,45
45,-0.2732,0.271,0.561,@nytimes,0.168,46
46,0.2263,0.174,0.579,@nytimes,0.248,47
47,-0.4404,0.195,0.805,@nytimes,0.0,48
48,0.3612,0.0,0.762,@nytimes,0.238,49
49,0.7506,0.0,0.738,@nytimes,0.262,50
50,0.34,0.0,0.769,@nytimes,0.231,51
51,-0.3875,0.168,0.832,@nytimes,0.0,52
52,0.0,0.0,1.0,@nytimes,0.0,53
53,-0.872,0.586,0.414,@nytimes,0.0,54
54,0.296,0.0,0.909,@nytimes,0.091,55
55,0.0,0.0,1.0,@nytimes,0.0,56
56,0.6956,0.0,0.782,@nytimes,0.218,57
57,0.0,0.0,1.0,@nytimes,0.0,58
58,-0.25,0.213,0.632,@nytimes,0.155,59
59,0.0258,0.107,0.78,@nytimes,0.112,60
60,0.0,0.0,1.0,@nytimes,0.0,61
61,0.5719,0.0,0.778,@nytimes,0.222,62
62,-0.3818,0.154,0.752,@nytimes,0.094,63
63,-0.2755,0.11,0.89,@nytimes,0.0,64
64,-0.5994,0.157,0.843,@nytimes,0.0,65
65,0.0,0.0,1.0,@nytimes,0.0,66
66,0.0,0.0,1.0,@nytimes,0.0,67
67,0.6597,0.0,0.565,@nytimes,0.435,68
68,0.5859,0.106,0.585,@nytimes,0.309,69
69,-0.34,0.211,0.789,@nytimes,0.0,70
70,0.0,0.0,1.0,@nytimes,0.0,71
71,-0.5267,0.236,0.764,@nytimes,0.0,72
72,-0.7269,0.243,0.757,@nytimes,0.0,73
73,0.0,0.0,1.0,@nytimes,0.0,74
74,0.0,0.0,1.0,@nytimes,0.0,75
75,-0.4019,0.124,0.876,@nytimes,0.0,76
76,0.0,0.0,1.0,@nytimes,0.0,77
77,0.0,0.0,1.0,@nytimes,0.0,78
78,0.0964,0.177,0.633,@nytimes,0.19,79
79,0.0,0.0,1.0,@nytimes,0.0,80
80,0.4215,0.0,0.865,@nytimes,0.135,81
81,-0.8016,0.387,0.613,@nytimes,0.0,82
82,0.1779,0.0,0.898,@nytimes,0.102,83
83,0.0,0.0,1.0,@nytimes,0.0,84
84,-0.2755,0.123,0.877,@nytimes,0.0,85
85,-0.5859,0.241,0.759,@nytimes,0.0,86
86,0.0,0.0,1.0,@nytimes,0.0,87
87,0.0,0.0,1.0,@nytimes,0.0,88
88,0.0,0.0,1.0,@nytimes,0.0,89
89,-0.6025,0.225,0.775,@nytimes,0.0,90
90,-0.4404,0.132,0.868,@nytimes,0.0,91
91,0.5994,0.0,0.822,@nytimes,0.178,92
92,0.0,0.0,1.0,@nytimes,0.0,93
93,0.0,0.0,1.0,@nytimes,0.0,94
94,-0.4215,0.201,0.714,@nytimes,0.084,95
95,0.5574,0.0,0.581,@nytimes,0.419,96
96,0.0,0.0,1.0,@nytimes,0.0,97
97,0.0258,0.0,0.948,@nytimes,0.052,98
98,0.0,0.0,1.0,@nytimes,0.0,99
99,0.7506,0.0,0.738,@nytimes,0.262,100
